Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2000-01-03 00:00:00,0.9994419813156128,45.880306243896484,40.1875,24.3125,54.03125,41.8125,29.47168731689453,,88.3125,65.1875,110.8986587524414,43.5,46.09375,48.58333206176758,28.1875,39.625,47.1875,64.52767181396484,58.28125,6.015625,30.24193572998047,53.59375,33.0,6.71875,,,53.90315628051758,28.5625,66.8125,39.15625
2000-01-04 00:00:00,0.9151790142059326,44.147945404052734,40.125,24.0,51.0,41.8125,31.198062896728516,,82.75,61.75,107.13432312011719,41.46875,44.40625,47.25,28.21875,38.8125,45.3125,62.261451721191406,56.3125,5.6875,29.11527442932129,52.5625,32.5625,6.632812976837158,,,52.16072082519531,27.5,64.3125,38.40625
2000-01-05 00:00:00,0.9285709857940674,42.962642669677734,42.625,24.5625,50.84375,42.5625,32.49284362792969,,78.875,63.0,110.8986587524414,41.8125,44.875,46.95833206176758,28.46875,39.4375,46.625,64.70658111572266,56.90625,6.015625,29.589658737182617,51.5625,32.3125,6.617187976837158,,,53.90315628051758,27.8125,63.0,40.5
2000-01-06 00:00:00,0.8482139706611633,43.83794021606445,43.0625,25.8125,50.0,44.375,31.198062896728516,,82.25,60.0,108.98661804199219,39.375,46.28125,47.625,28.5,38.875,50.375,65.24332427978516,55.0,5.984375,30.657020568847656,53.9375,32.9375,6.859375,,,53.284873962402344,27.0,63.6875,42.59375
2000-01-07 00:00:00,0.888392984867096,44.47618103027344,44.3125,26.65625,52.9375,45.15625,30.70481300354004,,82.5625,63.5,108.50860595703125,41.0,48.25,48.5,30.375,39.875,51.375,71.5052490234375,55.71875,5.984375,32.73244857788086,58.25,34.25,7.664062976837158,,,52.89141845703125,27.6875,68.5,42.46875
2000-01-10 00:00:00,0.872767984867096,45.09618377685547,43.6875,25.78125,54.90625,43.9375,35.390689849853516,,84.375,63.1875,112.81070709228516,42.875,47.03125,47.66666793823242,29.40625,40.0625,51.125,69.41793823242188,56.125,6.085937976837158,32.67314910888672,57.96875,33.625,7.53125,,,52.610382080078125,28.5,67.25,41.875
2000-01-11 00:00:00,0.828125,45.51559829711914,42.875,25.375,53.25,43.53125,35.760623931884766,,84.8125,61.5625,113.76673126220703,44.84375,47.1875,46.54166793823242,30.40625,41.0,50.25,69.65648651123047,54.6875,6.390625,32.25806427001953,58.875,33.25,7.546875,,,52.11856460571289,29.625,66.25,42.0
2000-01-12 00:00:00,0.7784600257873535,45.278541564941406,43.0625,25.8125,51.90625,43.375,33.23271942138672,,84.375,61.0625,114.24474334716797,45.625,46.75,46.83333206176758,30.75,42.75,50.375,71.02815246582031,52.90625,6.171875,33.3254280090332,58.5,33.3125,7.476562976837158,,,50.36207580566406,30.25,65.0625,41.75
2000-01-13 00:00:00,0.8638389706611633,45.51559829711914,42.375,26.09375,53.09375,43.78125,34.342529296875,,84.5,62.125,113.04971313476562,45.53125,46.6875,47.54166793823242,30.28125,42.3125,50.375,71.32633972167969,53.90625,6.25,35.10436248779297,57.5,34.0,7.710937976837158,,,49.96862030029297,30.1875,65.125,42.71875
2000-01-14 00:00:00,0.896763026714325,46.536781311035156,44.0,25.96875,53.78125,43.5,33.109405517578125,,85.625,61.9375,114.36424255371094,51.53125,46.84375,49.25,30.53125,42.609375,49.65625,70.72996520996094,56.125,6.414062976837158,35.10436248779297,58.5,34.0,7.703125,,,50.64311218261719,29.4375,64.5,41.875
2000-01-18 00:00:00,0.928013026714325,44.22088623046875,45.0,24.96875,56.0,44.65625,34.03424835205078,,86.875,60.5,110.65965270996094,51.0625,45.65625,47.33333206176758,32.5,41.5,48.5625,67.56917572021484,57.65625,6.328125,34.629981994628906,58.46875,32.75,7.375,,,52.83521270751953,29.25,65.5625,42.375
